"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","77/442","424/18870",3.02391113904977e-46,1.08860801005792e-42,9.71152935288511e-43,"TOP2A/MKI67/TPX2/CENPF/KIF18B/NCAPG/ASPM/BUB1/CENPU/NDC80/NCAPH/DLGAP5/CENPK/KIF14/CDCA2/BIRC5/CDCA8/AURKB/BUB1B/HJURP/NUSAP1/CENPM/ESCO2/BRIP1/SMC4/ECT2/PRC1/KIF23/KIF4A/CENPI/SKA1/FBXO5/SPC25/TTK/TACC3/NCAPG2/STIL/BRCA1/ESPL1/KIF2C/SKA3/RACGAP1/NUF2/MAD2L1/TRIP13/PSMC3IP/MND1/CENPO/CENPE/ZWILCH/NCAPD2/FANCD2/KNTC1/CENPL/TUBB/NDE1/RB1/HAUS8/CENPQ/SMC1A/HAUS5/MZT1/MAPRE1/RCC1/MAD2L2/PSRC1/ANAPC11/TTL/CENPH/DSN1/TUBGCP3/CEP97/KIF2A/RAD18/GEN1/ITGB3BP/CEP192",77
"GO:0000280","GO:0000280","nuclear division","67/442","441/18870",3.92492330947799e-35,7.06486195706037e-32,6.30260053537754e-32,"TOP2A/MKI67/TPX2/CENPF/CDC25C/BRCA2/KIF18B/NCAPG/ASPM/BUB1/NDC80/NCAPH/DLGAP5/CENPK/KIF14/CDCA2/BIRC5/CDCA8/AURKB/BUB1B/NUSAP1/BRIP1/SMC4/PRC1/KIF23/KIF4A/CENPI/FBXO5/EME1/SPC25/TTK/NCAPG2/ESPL1/KIF2C/RAD54L/RACGAP1/NUF2/ANLN/MAD2L1/TRIP13/PSMC3IP/MND1/CENPE/ZWILCH/NCAPD2/FANCD2/KNTC1/UBE2S/NDE1/FANCA/RB1/RAD51/SMC1A/MZT1/MAPRE1/RCC1/MAD2L2/PSRC1/ANAPC11/RANBP1/DSN1/MSX1/RAD51B/CEP97/KIF2A/GEN1/CEP192",67
"GO:0140014","GO:0140014","mitotic nuclear division","54/442","274/18870",2.55075411776081e-34,2.78732143066274e-31,2.48658411840703e-31,"MKI67/TPX2/CENPF/CDC25C/KIF18B/NCAPG/BUB1/NDC80/NCAPH/DLGAP5/CENPK/KIF14/CDCA2/BIRC5/CDCA8/AURKB/BUB1B/NUSAP1/SMC4/PRC1/KIF23/KIF4A/CENPI/FBXO5/SPC25/TTK/NCAPG2/ESPL1/KIF2C/RACGAP1/NUF2/ANLN/MAD2L1/TRIP13/CENPE/ZWILCH/NCAPD2/KNTC1/UBE2S/NDE1/RB1/SMC1A/MZT1/MAPRE1/RCC1/MAD2L2/PSRC1/ANAPC11/RANBP1/DSN1/CEP97/KIF2A/GEN1/CEP192",54
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","46/442","184/18870",3.09702381184749e-34,2.78732143066274e-31,2.48658411840703e-31,"TPX2/CENPF/KIF18B/NCAPG/BUB1/NDC80/NCAPH/DLGAP5/CENPK/KIF14/BIRC5/CDCA8/AURKB/BUB1B/NUSAP1/SMC4/PRC1/KIF23/KIF4A/CENPI/FBXO5/SPC25/TTK/NCAPG2/ESPL1/KIF2C/RACGAP1/NUF2/MAD2L1/TRIP13/CENPE/ZWILCH/NCAPD2/KNTC1/RB1/SMC1A/MZT1/MAPRE1/MAD2L2/PSRC1/ANAPC11/DSN1/CEP97/KIF2A/GEN1/CEP192",46
"GO:0098813","GO:0098813","nuclear chromosome segregation","56/442","312/18870",2.60155082980469e-33,1.76644161709032e-30,1.57585186366742e-30,"TOP2A/TPX2/CENPF/KIF18B/NCAPG/ASPM/BUB1/NDC80/NCAPH/DLGAP5/CENPK/KIF14/BIRC5/CDCA8/AURKB/BUB1B/NUSAP1/BRIP1/SMC4/ECT2/PRC1/KIF23/KIF4A/CENPI/FBXO5/SPC25/TTK/TACC3/NCAPG2/ESPL1/KIF2C/RACGAP1/NUF2/MAD2L1/TRIP13/PSMC3IP/MND1/CENPE/ZWILCH/NCAPD2/FANCD2/KNTC1/RB1/CENPQ/SMC1A/MZT1/MAPRE1/MAD2L2/PSRC1/ANAPC11/TTL/DSN1/CEP97/KIF2A/GEN1/CEP192",56
"GO:0048285","GO:0048285","organelle fission","68/442","488/18870",2.9440693618172e-33,1.76644161709032e-30,1.57585186366742e-30,"TOP2A/MKI67/TPX2/CENPF/CDC25C/BRCA2/KIF18B/NCAPG/ASPM/BUB1/NDC80/NCAPH/DLGAP5/CENPK/KIF14/CDCA2/BIRC5/CDCA8/AURKB/BUB1B/NUSAP1/BRIP1/SMC4/PRC1/KIF23/KIF4A/CENPI/FBXO5/EME1/SPC25/TTK/NCAPG2/ESPL1/KIF2C/RAD54L/RACGAP1/NUF2/ANLN/MAD2L1/TRIP13/PSMC3IP/MND1/CENPE/ZWILCH/NCAPD2/FANCD2/KNTC1/UBE2S/MTFR2/NDE1/FANCA/RB1/RAD51/SMC1A/MZT1/MAPRE1/RCC1/MAD2L2/PSRC1/ANAPC11/RANBP1/DSN1/MSX1/RAD51B/CEP97/KIF2A/GEN1/CEP192",68
"GO:0000819","GO:0000819","sister chromatid segregation","48/442","225/18870",3.03344495281372e-32,1.5600574043042e-29,1.39173542120822e-29,"TOP2A/TPX2/CENPF/KIF18B/NCAPG/BUB1/NDC80/NCAPH/DLGAP5/CENPK/KIF14/BIRC5/CDCA8/AURKB/BUB1B/NUSAP1/SMC4/PRC1/KIF23/KIF4A/CENPI/FBXO5/SPC25/TTK/TACC3/NCAPG2/ESPL1/KIF2C/RACGAP1/NUF2/MAD2L1/TRIP13/CENPE/ZWILCH/NCAPD2/KNTC1/RB1/SMC1A/MZT1/MAPRE1/MAD2L2/PSRC1/ANAPC11/DSN1/CEP97/KIF2A/GEN1/CEP192",48
"GO:1905818","GO:1905818","regulation of chromosome separation","26/442","74/18870",4.61960824964483e-24,2.07882371234017e-21,1.8545295749561e-21,"CENPF/NCAPG/BUB1/NDC80/NCAPH/DLGAP5/BIRC5/CDCA8/AURKB/BUB1B/SMC4/FBXO5/SPC25/TTK/NCAPG2/ESPL1/NUF2/MAD2L1/TRIP13/ZWILCH/NCAPD2/KNTC1/RB1/MAD2L2/ANAPC11/GEN1",26
"GO:0051983","GO:0051983","regulation of chromosome segregation","32/442","131/18870",9.12296003481659e-24,3.64918401392664e-21,3.2554562650556e-21,"MKI67/CENPF/NCAPG/BUB1/NDC80/NCAPH/DLGAP5/CDCA2/BIRC5/CDCA8/AURKB/BUB1B/SMC4/FBXO5/SPC25/TTK/TACC3/NCAPG2/ESPL1/KIF2C/NUF2/MAD2L1/TRIP13/CENPE/ZWILCH/NCAPD2/KNTC1/RB1/MAD2L2/ANAPC11/RAD18/GEN1",32
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","54/442","456/18870",5.31307476125689e-23,1.91270691405248e-20,1.70633590490471e-20,"CENPF/CDC25C/RRM2/BRCA2/GTSE1/BUB1/EZH2/NDC80/DLGAP5/KIF14/BIRC5/DTL/CDKN2C/CDCA8/AURKB/BUB1B/BRIP1/FBXO5/EME1/WDR76/SPC25/E2F7/BARD1/TTK/CDC45/STIL/BRCA1/ESPL1/RFWD3/NUF2/ANLN/CLSPN/MAD2L1/TRIP13/E2F1/ATAD5/CENPE/ZWILCH/FANCD2/KNTC1/BLM/ORC1/RB1/CDKN2D/RAD51/RBL1/INTS7/MAD2L2/ANAPC11/APBB2/RAD51B/GEN1/CCNG1/RBBP8",54
"GO:0051304","GO:0051304","chromosome separation","26/442","81/18870",6.80932923052921e-23,2.2285077481732e-20,1.98806349113346e-20,"CENPF/NCAPG/BUB1/NDC80/NCAPH/DLGAP5/BIRC5/CDCA8/AURKB/BUB1B/SMC4/FBXO5/SPC25/TTK/NCAPG2/ESPL1/NUF2/MAD2L1/TRIP13/ZWILCH/NCAPD2/KNTC1/RB1/MAD2L2/ANAPC11/GEN1",26
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","42/442","277/18870",3.42621424035336e-22,1.02786427210601e-19,9.16963126957729e-20,"CENPF/BRCA2/GTSE1/BUB1/EZH2/NDC80/BIRC5/DTL/CDCA8/AURKB/BUB1B/BRIP1/FBXO5/EME1/WDR76/SPC25/E2F7/BARD1/TTK/CDC45/BRCA1/RFWD3/NUF2/CLSPN/MAD2L1/TRIP13/E2F1/ZWILCH/FANCD2/KNTC1/BLM/ORC1/RB1/CDKN2D/RAD51/RBL1/INTS7/MAD2L2/APBB2/GEN1/CCNG1/RBBP8",42
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","53/442","470/18870",1.3543830432585e-21,3.75059919671584e-19,3.34592928338597e-19,"CENPF/CDC25C/RRM2/GTSE1/BUB1/EZH2/NDC80/DLGAP5/KIF14/BIRC5/IQGAP3/DTL/CDKN2C/CDCA8/AURKB/BUB1B/FBXO5/SPC25/E2F7/BARD1/FOXM1/TTK/CDKN3/TACC3/STIL/BRCA1/ESPL1/RFWD3/NUF2/ANLN/CLSPN/MAD2L1/TRIP13/E2F1/ATAD5/CENPE/ZWILCH/KNTC1/BLM/UBE2S/BACH1/ORC1/RB1/CDKN2D/RBL1/RCC1/MAD2L2/PPM1D/ANAPC11/RAD51B/GEN1/CCNG1/RBBP8",53
"GO:0010948","GO:0010948","negative regulation of cell cycle process","44/442","320/18870",1.83036795751231e-21,4.70666046217452e-19,4.19883657020306e-19,"CENPF/BRCA2/GTSE1/BUB1/EZH2/NDC80/BIRC5/DTL/CDCA8/AURKB/BUB1B/BRIP1/FBXO5/EME1/WDR76/SPC25/E2F7/BARD1/TTK/CDC45/BRCA1/ESPL1/RFWD3/NUF2/CLSPN/MAD2L1/TRIP13/E2F1/ZWILCH/FANCD2/KNTC1/BLM/ORC1/RB1/CDKN2D/RAD51/RBL1/INTS7/MAD2L2/APBB2/CCP110/GEN1/CCNG1/RBBP8",44
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","35/442","192/18870",2.32338472643441e-21,5.57612334344259e-19,4.97448898270274e-19,"CENPF/BRCA2/GTSE1/BUB1/NDC80/BIRC5/DTL/CDCA8/AURKB/BUB1B/BRIP1/EME1/WDR76/SPC25/BARD1/TTK/CDC45/BRCA1/RFWD3/NUF2/CLSPN/MAD2L1/TRIP13/E2F1/ZWILCH/FANCD2/KNTC1/BLM/ORC1/RAD51/INTS7/MAD2L2/GEN1/CCNG1/RBBP8",35
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","32/442","163/18870",1.1987161392888e-20,2.69711131339981e-18,2.40610719800667e-18,"TPX2/NDC80/DLGAP5/BIRC5/CDCA8/AURKB/NUSAP1/PRC1/KIF23/KIF4A/WDR62/SPC25/TTK/TACC3/STIL/ESPL1/RACGAP1/NUF2/MAD2L1/CENPE/NDE1/SMC1A/TACC2/MZT1/MAPRE1/RCC1/PSRC1/CENPH/CEP97/KIF2A/STMN1/CEP192",32
"GO:0007051","GO:0007051","spindle organization","35/442","202/18870",1.32057732262678e-20,2.79651668320965e-18,2.49478725160019e-18,"TPX2/ASPM/NDC80/DLGAP5/BIRC5/CDCA8/AURKB/PRC1/KIF23/KIF4A/WDR62/FBXO5/SPC25/TTK/TACC3/STIL/ESPL1/RACGAP1/NUF2/CENPE/TUBB/HAUS8/SMC1A/TACC2/HAUS5/MZT1/MAPRE1/RCC1/PSRC1/CENPH/TUBGCP3/CEP97/KIF2A/STMN1/CEP192",35
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","45/442","355/18870",1.74822670895006e-20,3.49645341790011e-18,3.1192044964951e-18,"CENPF/CDC25C/RRM2/GTSE1/BUB1/EZH2/NDC80/DLGAP5/KIF14/BIRC5/DTL/CDKN2C/CDCA8/AURKB/BUB1B/FBXO5/SPC25/E2F7/BARD1/TTK/STIL/BRCA1/ESPL1/RFWD3/NUF2/ANLN/CLSPN/MAD2L1/TRIP13/E2F1/ATAD5/CENPE/ZWILCH/KNTC1/BLM/ORC1/RB1/CDKN2D/RBL1/MAD2L2/ANAPC11/RAD51B/GEN1/CCNG1/RBBP8",45
"GO:0045786","GO:0045786","negative regulation of cell cycle","48/442","407/18870",1.89166249561492e-20,3.58420262327038e-18,3.19748602444384e-18,"CENPF/BRCA2/GTSE1/BUB1/EZH2/NDC80/BIRC5/DTL/CDCA8/AURKB/BUB1B/BRIP1/FBXO5/EME1/WDR76/SPC25/E2F7/BARD1/TTK/CDC45/BRCA1/ESPL1/RFWD3/NUF2/GMNN/CLSPN/MAD2L1/TRIP13/E2F1/ZWILCH/FANCD2/KNTC1/BLM/BTG3/ORC1/RB1/CDKN2D/RAD51/RBL1/INTS7/NUDT6/MAD2L2/APBB2/BRINP3/CCP110/GEN1/CCNG1/RBBP8",48
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","21/442","59/18870",8.26725074885325e-20,1.48810513479359e-17,1.32754642288165e-17,"CENPF/BUB1/NDC80/DLGAP5/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/ESPL1/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/RB1/MAD2L2/ANAPC11/GEN1",21
"GO:0006261","GO:0006261","DNA-templated DNA replication","31/442","161/18870",8.87872210259437e-20,1.52206664615903e-17,1.35784366591556e-17,"BRCA2/FBXO5/EME1/E2F7/BARD1/ORC6/CDC45/MMS22L/BRCA1/POLE2/RFWD3/POLQ/LIG1/PCNA/GMNN/PRIM2/ATAD5/RFC3/GINS2/MCM2/BLM/GINS1/ORC1/POLA1/PRIM1/RFC5/RAD51/DDX11/RECQL/GEN1/RBBP8",31
"GO:0051306","GO:0051306","mitotic sister chromatid separation","21/442","62/18870",2.74943237336798e-19,4.49907115642033e-17,4.01364505796446e-17,"CENPF/BUB1/NDC80/DLGAP5/BIRC5/CDCA8/AURKB/BUB1B/FBXO5/SPC25/TTK/ESPL1/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/RB1/MAD2L2/ANAPC11/GEN1",21
"GO:0006260","GO:0006260","DNA replication","38/442","278/18870",1.3937436672182e-18,2.18151182695023e-16,1.94613818246349e-16,"RRM2/BRCA2/DTL/ESCO2/FBXO5/EME1/E2F7/BARD1/ORC6/CDC45/MMS22L/BRCA1/POLE2/RFWD3/POLQ/LIG1/PCNA/GMNN/PRIM2/ATAD5/RFC3/GINS2/MCM2/BLM/GINS1/JADE3/ORC1/POLA1/PRIM1/RFC5/RBMS1/RAD51/RUVBL2/DDX11/RECQL/GEN1/RBBP8/CHAF1A",38
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","26/442","118/18870",2.5333498685583e-18,3.80002480283745e-16,3.39002212674183e-16,"MKI67/CENPF/CDC25C/BUB1/NDC80/DLGAP5/CDCA2/BIRC5/CDCA8/AURKB/BUB1B/NUSAP1/FBXO5/SPC25/TTK/ESPL1/NUF2/MAD2L1/TRIP13/ZWILCH/KNTC1/RB1/RCC1/MAD2L2/ANAPC11/GEN1",26
"GO:0007052","GO:0007052","mitotic spindle organization","27/442","130/18870",2.83972722980656e-18,3.97044612896926e-16,3.54205588873836e-16,"TPX2/NDC80/DLGAP5/BIRC5/CDCA8/AURKB/PRC1/KIF23/KIF4A/WDR62/SPC25/TTK/TACC3/STIL/RACGAP1/NUF2/CENPE/SMC1A/TACC2/MZT1/RCC1/PSRC1/CENPH/CEP97/KIF2A/STMN1/CEP192",27
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling","28/442","142/18870",2.8675444264778e-18,3.97044612896926e-16,3.54205588873836e-16,"CENPF/GTSE1/BUB1/NDC80/BIRC5/DTL/CDCA8/AURKB/BUB1B/EME1/SPC25/BARD1/TTK/BRCA1/RFWD3/NUF2/CLSPN/MAD2L1/TRIP13/ZWILCH/FANCD2/KNTC1/BLM/ORC1/MAD2L2/GEN1/CCNG1/RBBP8",28
