"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","65/314","424/18870",7.51963528670611e-44,2.52659745633325e-40,2.17277882757982e-40,"TOP2A/CENPF/MKI67/ASPM/SMC4/TPX2/CENPE/NCAPG/KIF14/KIF18B/BRIP1/CENPK/BUB1/CDCA8/KIF4A/KIF23/NUF2/SPC25/NDC80/ECT2/DLGAP5/BUB1B/TUBB/CENPU/STIL/PRC1/ESCO2/CDCA2/NCAPH/CENPI/BIRC5/NCAPG2/HJURP/AURKB/TACC3/BRCA1/SKA1/CENPM/FBXO5/NUSAP1/KNTC1/CCNB1/TTK/RACGAP1/KIF2C/MND1/SKA3/ESPL1/CENPO/UBE2C/RB1/CDC20/NCAPD2/RAD18/MAD2L1/SMC1A/KNSTRN/TRIP13/PSMC3IP/GEN1/ZWILCH/MZT1/AURKA/FANCD2/MAD2L2",65
"GO:0000280","GO:0000280","nuclear division","61/314","441/18870",2.07326447588695e-38,3.48308431949007e-35,2.99532157174193e-35,"TOP2A/CENPF/MKI67/ASPM/SMC4/CDC25C/TPX2/CENPE/NCAPG/KIF14/KIF18B/BRCA2/BRIP1/CENPK/BUB1/CDCA8/KIF4A/KIF23/NUF2/SPC25/NDC80/DLGAP5/BUB1B/PRC1/CDCA2/NCAPH/CENPI/BIRC5/NCAPG2/AURKB/ANLN/FBXO5/NUSAP1/EME1/KNTC1/CCNB1/TTK/RACGAP1/UBE2S/KIF2C/MND1/ESPL1/FANCA/UBE2C/RB1/CDC20/NCAPD2/BORA/MAD2L1/RAD54L/SMC1A/KNSTRN/TRIP13/PSMC3IP/HFM1/GEN1/ZWILCH/MZT1/AURKA/FANCD2/MAD2L2",61
"GO:0048285","GO:0048285","organelle fission","63/314","488/18870",7.34980607721388e-38,8.23178280647954e-35,7.07902374805337e-35,"TOP2A/CENPF/MKI67/ASPM/SMC4/CDC25C/TPX2/CENPE/NCAPG/KIF14/KIF18B/BRCA2/BRIP1/CENPK/BUB1/CDCA8/KIF4A/KIF23/NUF2/SPC25/NDC80/DLGAP5/BUB1B/PRC1/CDCA2/NCAPH/CENPI/BIRC5/NCAPG2/AURKB/ANLN/FBXO5/NUSAP1/EME1/KNTC1/CCNB1/TTK/RACGAP1/UBE2S/KIF2C/MND1/ESPL1/FANCA/UBE2C/RB1/CDC20/NCAPD2/BORA/MAD2L1/RAD54L/SMC1A/LRRK2/KNSTRN/TRIP13/PSMC3IP/MTFR2/HFM1/GEN1/ZWILCH/MZT1/AURKA/FANCD2/MAD2L2",63
"GO:0140014","GO:0140014","mitotic nuclear division","50/314","274/18870",1.88274905112833e-37,1.5815092029478e-34,1.36003845930191e-34,"CENPF/MKI67/SMC4/CDC25C/TPX2/CENPE/NCAPG/KIF14/KIF18B/CENPK/BUB1/CDCA8/KIF4A/KIF23/NUF2/SPC25/NDC80/DLGAP5/BUB1B/PRC1/CDCA2/NCAPH/CENPI/BIRC5/NCAPG2/AURKB/ANLN/FBXO5/NUSAP1/KNTC1/CCNB1/TTK/RACGAP1/UBE2S/KIF2C/ESPL1/UBE2C/RB1/CDC20/NCAPD2/BORA/MAD2L1/SMC1A/KNSTRN/TRIP13/GEN1/ZWILCH/MZT1/AURKA/MAD2L2",50
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","43/314","184/18870",4.35923944039922e-37,2.92940890394827e-34,2.51918152924123e-34,"CENPF/SMC4/TPX2/CENPE/NCAPG/KIF14/KIF18B/CENPK/BUB1/CDCA8/KIF4A/KIF23/NUF2/SPC25/NDC80/DLGAP5/BUB1B/PRC1/NCAPH/CENPI/BIRC5/NCAPG2/AURKB/FBXO5/NUSAP1/KNTC1/CCNB1/TTK/RACGAP1/KIF2C/ESPL1/UBE2C/RB1/CDC20/NCAPD2/MAD2L1/SMC1A/KNSTRN/TRIP13/GEN1/ZWILCH/MZT1/MAD2L2",43
"GO:0098813","GO:0098813","nuclear chromosome segregation","52/314","312/18870",7.20198825391327e-37,4.03311342219143e-34,3.46832592227928e-34,"TOP2A/CENPF/ASPM/SMC4/TPX2/CENPE/NCAPG/KIF14/KIF18B/BRIP1/CENPK/BUB1/CDCA8/KIF4A/KIF23/NUF2/SPC25/NDC80/ECT2/DLGAP5/BUB1B/PRC1/NCAPH/CENPI/BIRC5/NCAPG2/AURKB/TACC3/FBXO5/NUSAP1/KNTC1/CCNB1/TTK/RACGAP1/KIF2C/MND1/ESPL1/UBE2C/RB1/CDC20/NCAPD2/MAD2L1/SMC1A/KNSTRN/TRIP13/PSMC3IP/GEN1/ZWILCH/MZT1/AURKA/FANCD2/MAD2L2",52
"GO:0000819","GO:0000819","sister chromatid segregation","45/314","225/18870",1.4136178664172e-35,6.78536575880254e-33,5.83515946363189e-33,"TOP2A/CENPF/SMC4/TPX2/CENPE/NCAPG/KIF14/KIF18B/CENPK/BUB1/CDCA8/KIF4A/KIF23/NUF2/SPC25/NDC80/DLGAP5/BUB1B/PRC1/NCAPH/CENPI/BIRC5/NCAPG2/AURKB/TACC3/FBXO5/NUSAP1/KNTC1/CCNB1/TTK/RACGAP1/KIF2C/ESPL1/UBE2C/RB1/CDC20/NCAPD2/MAD2L1/SMC1A/KNSTRN/TRIP13/GEN1/ZWILCH/MZT1/MAD2L2",45
"GO:0051983","GO:0051983","regulation of chromosome segregation","34/314","131/18870",3.87190479171335e-31,1.62620001251961e-28,1.39847087542805e-28,"CENPF/MKI67/SMC4/CENPE/NCAPG/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/CDCA2/NCAPH/BIRC5/NCAPG2/AURKB/TACC3/FBXO5/KNTC1/CCNB1/TTK/KIF2C/ESPL1/UBE2C/RB1/CDC20/NCAPD2/RAD18/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",34
"GO:1905818","GO:1905818","regulation of chromosome separation","28/314","74/18870",4.59209050446983e-31,1.71438045500207e-28,1.47430274090874e-28,"CENPF/SMC4/NCAPG/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/NCAPH/BIRC5/NCAPG2/AURKB/FBXO5/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/NCAPD2/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",28
"GO:0051304","GO:0051304","chromosome separation","28/314","81/18870",9.34031471616123e-30,3.13834574463017e-27,2.69885935745922e-27,"CENPF/SMC4/NCAPG/BUB1/CDCA8/NUF2/SPC25/NDC80/DLGAP5/BUB1B/NCAPH/BIRC5/NCAPG2/AURKB/FBXO5/KNTC1/CCNB1/TTK/ESPL1/UBE2C/RB1/CDC20/NCAPD2/MAD2L1/TRIP13/GEN1/ZWILCH/MAD2L2",28
