gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
AC016831.7,0,1.374688041,0.752,0.012,0,Prefrontal cortex
AC026316.5,0,1.045261754,0.513,0,0,Prefrontal cortex
AC074327.1,0,1.577372518,0.769,0,0,Prefrontal cortex
AC244021.1,0,0.997576376,0.581,0.008,0,Prefrontal cortex
ATRX,0,1.045783091,0.598,0.009,0,Prefrontal cortex
BABAM2,0,1.008758371,0.573,0.007,0,Prefrontal cortex
COP1,0,1.091545043,0.65,0.007,0,Prefrontal cortex
DIAPH2,0,1.49000199,0.846,0.011,0,Prefrontal cortex
DLEU2,0,1.368856052,0.795,0.011,0,Prefrontal cortex
DLEU7-AS1,0,0.92391859,0.47,0,0,Prefrontal cortex
FP671120.1,0,1.287622287,0.701,0,0,Prefrontal cortex
FTX,0,1.591289045,0.872,0.013,0,Prefrontal cortex
GPM6B,0,1.270544948,0.667,0.009,0,Prefrontal cortex
IL1RAPL1,0,1.81116636,0.906,0.014,0,Prefrontal cortex
KDM6A,0,0.985447492,0.556,0.007,0,Prefrontal cortex
LAMP2,0,0.949477383,0.556,0.005,0,Prefrontal cortex
LINC00486,0,0.97047867,0.53,0.001,0,Prefrontal cortex
LRMDA,0,2.080813127,0.991,0.014,0,Prefrontal cortex
MALAT1,0,2.516829982,1,0.015,0,Prefrontal cortex
MIR99AHG,0,1.154751135,0.632,0.011,0,Prefrontal cortex
MT-ATP6,0,1.281059828,0.667,0.011,0,Prefrontal cortex
MT-CO1,0,1.379140638,0.761,0.008,0,Prefrontal cortex
MT-CO2,0,1.504017094,0.795,0.011,0,Prefrontal cortex
MT-CO3,0,1.423016502,0.795,0.012,0,Prefrontal cortex
MT-ND3,0,1.640419651,0.829,0.01,0,Prefrontal cortex
MT-ND4,0,1.396190874,0.752,0.01,0,Prefrontal cortex
NEAT1,0,1.996024153,0.974,0.013,0,Prefrontal cortex
NUTM2A-AS1,0,0.964397729,0.547,0.005,0,Prefrontal cortex
PLP1,0,1.386760941,0.709,0.013,0,Prefrontal cortex
SAT1,0,1.120211214,0.607,0.009,0,Prefrontal cortex
SH3BGRL,0,0.975235298,0.547,0.006,0,Prefrontal cortex
SH3KBP1,0,1.118433772,0.607,0.008,0,Prefrontal cortex
TENT2,0,1.040534333,0.59,0.006,0,Prefrontal cortex
TMSB4X,0,1.285566317,0.701,0.01,0,Prefrontal cortex
PRKN,6.9108E-307,1.147745844,0.607,0.01,2.5144E-302,Prefrontal cortex
XIST,3.9109E-302,1.107121479,0.419,0.001,1.4229E-297,Prefrontal cortex
HDAC8,5.8363E-302,0.721373176,0.393,0,2.1235E-297,Prefrontal cortex
RPS6KA3,2.8597E-301,0.955171218,0.521,0.005,1.0405E-296,Prefrontal cortex
LINC02232,1.6112E-297,1.012313834,0.521,0.006,5.8621E-293,Prefrontal cortex
MT-ND2,3.4362E-290,1.104515778,0.581,0.01,1.2502E-285,Prefrontal cortex
MIR181A1HG,2.7158E-288,0.946599542,0.513,0.006,9.8811E-284,Prefrontal cortex
MIR646HG,6.0933E-285,0.918157575,0.47,0.004,2.217E-280,Prefrontal cortex
DOCK11,2.6359E-284,0.94571148,0.513,0.006,9.5903E-280,Prefrontal cortex
HDAC2-AS2,1.2286E-280,0.903294194,0.504,0.006,4.4703E-276,Prefrontal cortex
AC006978.2,4.3969E-277,0.774997644,0.436,0.003,1.5998E-272,Prefrontal cortex
ARHGAP6,1.3559E-276,0.953225984,0.487,0.005,4.9334E-272,Prefrontal cortex
IL13RA1,1.3118E-264,0.823830992,0.487,0.006,4.7727E-260,Prefrontal cortex
CCDC26,1.3463E-263,1.011862834,0.41,0.003,4.8985E-259,Prefrontal cortex
ENOX2,1.3626E-263,0.804619148,0.436,0.004,4.9578E-259,Prefrontal cortex
TUT4,4.5039E-262,0.865988177,0.487,0.007,1.6387E-257,Prefrontal cortex
ENTPD1-AS1,5.3047E-259,0.875073674,0.479,0.006,1.9301E-254,Prefrontal cortex
THOC2,1.2974E-256,0.684618958,0.427,0.004,4.7205E-252,Prefrontal cortex
ARMH3,4.6903E-256,0.842759374,0.479,0.007,1.7065E-251,Prefrontal cortex
USP9X,3.0344E-255,0.744163588,0.436,0.004,1.1041E-250,Prefrontal cortex
JPX,1.8192E-253,0.859287261,0.47,0.006,6.6191E-249,Prefrontal cortex
FAM157C,2.5196E-250,0.702831946,0.393,0.003,9.1673E-246,Prefrontal cortex
MT-ND1,5.2818E-250,0.996433822,0.53,0.01,1.9217E-245,Prefrontal cortex
MSN,5.2213E-249,0.747286586,0.41,0.003,1.8997E-244,Prefrontal cortex
AC118549.1,1.6493E-246,0.757545936,0.419,0.004,6.0008E-242,Prefrontal cortex
NUTM2B-AS1,8.8888E-245,0.746457886,0.427,0.005,3.2341E-240,Prefrontal cortex
ZFX,3.4298E-243,0.613677835,0.342,0.001,1.2479E-238,Prefrontal cortex
TMEM131L,1.0378E-238,0.673458358,0.385,0.003,3.776E-234,Prefrontal cortex
CYBC1,4.4553E-236,0.59789422,0.325,0.001,1.621E-231,Prefrontal cortex
MT-CYB,2.2517E-235,0.959554311,0.504,0.01,8.1924E-231,Prefrontal cortex
AL359091.1,2.6275E-234,0.697122109,0.359,0.002,9.56E-230,Prefrontal cortex
TUT7,3.1891E-234,0.676024398,0.402,0.004,1.1603E-229,Prefrontal cortex
FP236383.1,1.8705E-233,0.876889683,0.462,0.008,6.8056E-229,Prefrontal cortex
OGA,6.1224E-232,0.687582077,0.41,0.005,2.2276E-227,Prefrontal cortex
ALG13,4.173E-230,0.730001279,0.385,0.003,1.5183E-225,Prefrontal cortex
ECPAS,8.3453E-230,0.676051095,0.385,0.003,3.0363E-225,Prefrontal cortex
LMCD1-AS1,2.1119E-229,0.810617832,0.427,0.006,7.684E-225,Prefrontal cortex
MIR29B2CHG,2.9192E-226,0.73461463,0.402,0.005,1.0621E-221,Prefrontal cortex
ACSL4,3.5732E-226,0.654878321,0.368,0.003,1.3001E-221,Prefrontal cortex
