"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TOP2A",4.4817058286162e-158,3.28576791749045,0.857,0.002,4.65380333243506e-154
"MKI67",9.63902034815519e-154,2.49815044506797,0.714,0,1.00091587295243e-149
"TPX2",5.65137724176866e-133,2.40987989187466,0.786,0.003,5.86839012785258e-129
"CENPF",9.07152368049413e-125,3.1922230261139,0.643,0.001,9.4198701898251e-121
"CDC25C",1.86645905226478e-118,2.53791486572701,0.714,0.003,1.93813107987174e-114
"RRM2",2.08584109060065e-118,2.75243198661809,0.714,0.003,2.16593738847972e-114
"BRCA2",2.9107820902644e-118,2.02754394817943,0.714,0.003,3.02255612253055e-114
"KIF18B",3.50877082976483e-113,2.04551960343067,0.643,0.002,3.64350762962779e-109
"GTSE1",1.27647989410888e-109,1.86305764371262,0.571,0.001,1.32549672204266e-105
"NCAPG",4.79802401901418e-103,2.36348690479192,0.714,0.005,4.98226814134432e-99
"ASPM",1.96671438457644e-94,2.49823798720818,0.5,0.001,2.04223621694418e-90
"BUB1",3.69040290254796e-94,1.62870538306582,0.5,0.001,3.83211437400581e-90
"CKAP2L",7.41222130196604e-90,1.6381624626984,0.571,0.003,7.69685059996153e-86
"BEST3",2.84127980554993e-86,3.42580430125247,0.857,0.014,2.95038495008305e-82
"CENPU",8.95049442572403e-84,1.51687786704606,0.5,0.002,9.29419341167183e-80
"EZH2",9.30250716172637e-81,3.63945364595103,1,0.025,9.65972343673667e-77
"NDC80",2.77429059805951e-79,1.46113110029348,0.429,0.001,2.880823357025e-75
"NCAPH",1.92335768261375e-77,1.26459306537672,0.357,0,1.99721461762611e-73
"DLGAP5",1.92335768261375e-77,1.23599827262193,0.357,0,1.99721461762611e-73
"CENPK",2.66978155743409e-77,2.18570360880811,0.714,0.01,2.77230116923956e-73
"KIF14",5.16725687021151e-76,2.07262975023822,0.571,0.005,5.36567953402763e-72
"CDCA2",5.16725687021151e-76,1.64541316960089,0.571,0.005,5.36567953402763e-72
"BIRC5",1.25141071346936e-69,1.17459826968396,0.429,0.002,1.29946488486659e-65
"IQGAP3",1.72926428838706e-69,1.21990640651971,0.429,0.002,1.79566803706112e-65
"PBK",1.72926428838706e-69,1.63013940922664,0.429,0.002,1.79566803706112e-65
"DTL",1.82833415978624e-68,1.71953898520261,0.5,0.004,1.89854219152204e-64
"CDKN2C",1.5958364492605e-65,2.50216889416245,0.571,0.007,1.6571165689121e-61
"DEPDC1",1.12518434554876e-64,1.01128879888354,0.357,0.001,1.16839142441783e-60
"CDCA8",1.81635719181216e-64,1.87531603648826,0.357,0.001,1.88610530797774e-60
"AURKB",1.81635719181216e-64,1.13056934074398,0.357,0.001,1.88610530797774e-60
"BUB1B",2.04711457776608e-64,1.38157254446265,0.357,0.001,2.1257237775523e-60
"HJURP",2.94721716563026e-62,1.28829090215274,0.286,0,3.06039030479047e-58
"NEIL3",2.94721716563026e-62,1.23286935528589,0.286,0,3.06039030479047e-58
"NUSAP1",2.94721716563026e-62,0.861362935917697,0.286,0,3.06039030479047e-58
"CENPM",2.94721716563026e-62,1.38484654354551,0.286,0,3.06039030479047e-58
"PDGFRA",3.40132937199384e-62,1.66206827461034,0.5,0.005,3.5319404198784e-58
"ESCO2",7.95528421594041e-62,1.24026836723662,0.429,0.003,8.26076712983252e-58
"EXO1",9.63374673870222e-62,2.02368374665582,0.429,0.003,1.00036826134684e-57
"APOLD1",1.28392903566152e-60,4.53134900810393,1,0.039,1.33323191063093e-56
"BRIP1",1.1544857250375e-59,2.60547806185387,0.714,0.017,1.19881797687893e-55
"SMC4",4.39162855012784e-59,2.97716938739037,0.929,0.033,4.56026708645274e-55
"ECT2",6.51940298432014e-57,2.22104622578244,0.786,0.023,6.76974805891803e-53
"KIF15",7.36977065733123e-57,2.55435102514848,0.643,0.013,7.65276985057275e-53
"COL9A1",3.61301899690916e-56,2.74444283646056,0.643,0.013,3.75175892639047e-52
"PRC1",1.84087711086185e-55,1.21161075298382,0.357,0.002,1.91156679191894e-51
"CDCA3",2.50383899794979e-55,0.994931527482727,0.357,0.002,2.59998641547106e-51
"KIF23",1.73722469986758e-54,1.93231910959622,0.5,0.007,1.80393412834249e-50
"MXD3",4.12258938441031e-54,1.36796105567862,0.5,0.007,4.28089681677167e-50
"LMNB1",1.23647839228341e-52,2.34347070711261,0.643,0.015,1.28395916254709e-48
"KIF4A",2.37329436547602e-52,1.90513267157199,0.643,0.015,2.4644288691103e-48
"GAS2L3",1.67080648874019e-50,1.84305650898048,0.429,0.005,1.73496545790782e-46
"WDR62",2.28511555781462e-50,1.27801845525085,0.5,0.008,2.3728639952347e-46
"CENPI",2.96787489160288e-50,2.01009575018481,0.643,0.017,3.08184128744043e-46
"CACNG4",4.46011368014993e-50,1.99495037070653,0.5,0.008,4.63138204546768e-46
"HMMR",8.12016790328617e-50,0.934554033516506,0.286,0.001,8.43198235077236e-46
"SKA1",9.10737355067867e-50,0.985512588858525,0.286,0.001,9.45709669502473e-46
"FBXO5",2.8275939422485e-48,1.03785263145185,0.357,0.003,2.93617354963084e-44
"LRR1",4.34301401707922e-47,0.627979468983565,0.214,0,4.50978575533507e-43
"EME1",4.34301401707922e-47,0.578802599081666,0.214,0,4.50978575533507e-43
"NXPH1",1.44950536181879e-46,3.39249799490871,0.857,0.037,1.50516636771264e-42
"HMGB2",2.83563039538059e-46,2.37289204497504,0.643,0.019,2.9445186025632e-42
"WDR76",2.85552089905264e-46,1.61235165315601,0.429,0.006,2.96517290157626e-42
"SPC25",5.01051332441996e-44,2.81581056631756,0.786,0.034,5.20291703607769e-40
"SPSB4",3.62982488790295e-43,2.04836285801667,0.357,0.004,3.76921016359842e-39
"E2F7",5.40252039488546e-43,1.30199591039951,0.357,0.004,5.60997717804906e-39
"BARD1",1.24215644052547e-41,2.52038113664567,0.786,0.034,1.28985524784164e-37
"FOXM1",1.33968758777008e-41,0.850187955296382,0.286,0.002,1.39113159114046e-37
"TTK",1.6215518054158e-41,1.18918054131301,0.286,0.002,1.68381939474377e-37
"SYNE2",1.54517889159334e-40,2.69290466367948,0.857,0.043,1.60451376103052e-36
"UBE2T",1.07408940628983e-39,1.45690089325598,0.429,0.008,1.11533443949136e-35
"LMNB2",1.33079656815566e-39,1.36343607985027,0.5,0.012,1.38189915637283e-35
"CCDC18",1.51487641011972e-39,2.7597258725449,1,0.066,1.57304766426831e-35
"FBN2",1.6186932196669e-37,1.4661037047292,0.5,0.013,1.68085103930211e-33
"STK32B",7.28026044450917e-37,2.20343903674024,0.571,0.02,7.55982244557832e-33
"DIAPH3",8.14922739450177e-37,3.79552518460748,1,0.076,8.46215772645064e-33
"CDKN3",1.00399631754825e-35,0.855282426709917,0.286,0.003,1.0425497761421e-31
"FOXN4",1.95861450860513e-35,0.717861093303827,0.214,0.001,2.03382530573557e-31
"TROAP",2.18095579173107e-35,0.685919367542386,0.214,0.001,2.26470449413355e-31
"ORC6",9.7680468885048e-35,1.44231449937096,0.429,0.01,1.01431398890234e-30
"PTPRT",3.87934297611964e-34,3.18512631877485,1,0.08,4.02830974640264e-30
"TACC3",6.47929572733742e-34,1.42176677836409,0.5,0.015,6.72810068326718e-30
"NCAPG2",1.32682018675468e-33,2.06860845654804,0.714,0.037,1.37777008192606e-29
