"","gene","logFC","logCPM","LR","PValue","FDR"
"1","APOLD1",6.23993324550802,8.38866971949646,139.026190915821,4.34678756898502e-32,4.51370421163405e-28
"2","TOP2A",6.97284357506676,6.63102396641586,117.766024902009,1.95096772860759e-27,1.01294244469306e-23
"3","CENPF",7.23808330071053,6.62023640540425,114.476763317502,1.02459877928297e-26,3.54647790802477e-23
"4","EZH2",4.68303841990871,7.21276943632006,98.8009834130366,2.79195790788997e-23,7.24792272888236e-20
"5","SYT1",-6.4035348269972,11.9681677426452,97.1691856446016,6.36495432456672e-23,1.32187371412602e-19
"6","LHFPL3",4.10394184654631,8.62829827899187,89.4700511697525,3.11315741525309e-21,5.38783776666469e-18
"7","RRM2",6.74966589050689,6.20811968726618,88.6495323897346,4.71338041848099e-21,6.99196318078666e-18
"8","RYR2",-6.37083795623525,11.461821035175,87.2110616699571,9.75367588287587e-21,1.26602712959729e-17
"9","BEST3",5.12881035718522,6.64363583823239,84.6216885413738,3.61280311880362e-20,4.16837195396187e-17
"10","ST6GALNAC5",-6.72563772186557,11.3943696693434,82.4558688658516,1.08055963930085e-19,1.12205312945e-16
"11","MKI67",6.83662381181205,6.20098334766538,82.1214640165179,1.2797526197078e-19,1.20808647300416e-16
"12","DIAPH3",3.94971049026582,7.94899712737517,79.8363415949751,4.06742259746321e-19,3.51967635433816e-16
"13","TENM2",-5.80015269270133,11.1902332457031,79.3449128878739,5.21603748263837e-19,4.1566485853155e-16
"14","GRM1",-9.49360756355938,10.5819974472454,79.2031342778702,5.60411018821427e-19,4.1566485853155e-16
"15","NKAIN2",-5.24929675844818,11.4623088366994,78.6607658044698,7.37457452821433e-19,5.10517212673184e-16
"16","KALRN",-5.57473222808887,11.0629686422268,77.5910454140215,1.26743421141903e-18,8.22564803210952e-16
"17","DLGAP2",-6.87980515664367,10.6958739184403,75.2719707918059,4.10140921638298e-18,2.50523725311299e-15
"18","NXPH1",3.9597914505266,7.36453009730484,73.6322288217547,9.41153796523636e-18,5.4294116795008e-15
"19","SLIT3",-7.10461757001893,10.6457918625338,70.2436229928239,5.24144434647254e-17,2.8645872680932e-14
"20","ERC2",-5.7298442486417,11.2334213728141,69.0255203821721,9.71975236745173e-17,5.04649542918094e-14
"21","GRIN2A",-6.04594442331149,10.8080731521773,66.8572759898464,2.91892896302995e-16,1.44334087390967e-13
"22","PLXNA4",-6.61501599549909,10.5471293574472,65.0315807406449,7.37072996636568e-16,3.4789845441246e-13
"23","CDH8",-6.60434585411913,10.320120454165,64.8153248217305,8.22569200843928e-16,3.71265622285489e-13
"24","CACNA1E",-6.83916153308877,10.3163873199329,64.732028186614,8.58086954434873e-16,3.71265622285489e-13
"25","DCLK1",-5.08816134991843,10.6907765121477,64.1909886839161,1.12924066043575e-15,4.69041400718595e-13
"26","COL9A1",4.77818913710335,6.43308493318752,63.9674142604506,1.26494232199374e-15,5.05198502753191e-13
"27","NELL2",-4.82968630774753,11.069887381983,63.7762671639267,1.39382651148792e-15,5.36055351677428e-13
"28","GRIA1",-4.52685766103596,11.2732324038543,63.1050996231327,1.95966087648193e-15,7.26754233621013e-13
"29","PCLO",-5.25496519200092,10.3697331939824,62.3711707599201,2.84457008851317e-15,1.0185522689352e-12
"30","SYNE2",4.15214203184975,6.95732352132219,61.5981943963311,4.2120471114487e-15,1.45792990684278e-12
"31","FRMPD4",-5.38361270232831,10.4975977021727,61.3244559251999,4.84030505953588e-15,1.62134605607163e-12
"32","NCAPG",5.5071028291219,6.13867085247803,60.9065107046123,5.98505765865815e-15,1.94215121023457e-12
"33","PEX5L",-5.6352675262608,10.3110577259538,60.5863780635429,7.04196268647062e-15,2.21587092534275e-12
"34","KIF15",4.78491465801117,6.23979280953531,60.1352890990341,8.85562969383014e-15,2.70461349237447e-12
"35","CDH9",-8.75623527928803,9.84507758716975,60.0203585984624,9.38812571842709e-15,2.78532278457563e-12
"36","PPFIA2",-4.46926498238297,12.1088901710607,58.7067759749751,1.83010151843415e-14,5.20042866052072e-12
"37","CDC25C",5.73619637524412,6.01420877798722,58.6823071783589,1.85300327849833e-14,5.20042866052072e-12
"38","PTPRT",3.32409235394678,8.02813828646736,58.4507134927542,2.08447987405296e-14,5.69611552951736e-12
"39","PDE1A",-8.43091034321862,9.58727309338581,56.5799357759478,5.39596262505064e-14,1.43670963842374e-11
"40","BRIP1",4.56073829995135,6.25324107300392,56.0231331897392,7.16233003097791e-14,1.81915907440122e-11
"41","CDKN2C",5.49948269543667,6.09809775954531,56.0175399450659,7.18273517434998e-14,1.81915907440122e-11
"42","CALN1",-6.01031678567255,9.81012553707619,55.6190529605602,8.7966900335402e-14,2.17487688829241e-11
"43","TPX2",5.51584466595032,6.04905813865896,55.3564424697581,1.00539808824018e-13,2.42791947634558e-11
"44","DYNC1I1",-5.42144571319901,9.61397086970883,54.794058765164,1.33844775199772e-13,3.15873669471461e-11
"45","LIMCH1",-4.28357785063239,10.4819634273291,54.2190532713262,1.7933943996147e-13,4.13835721013312e-11
"46","SMC4",3.70680508784751,6.82944589390644,53.9920878137367,2.01298580856296e-13,4.54409666002561e-11
"47","ASPM",5.32205519403593,6.16455949361183,53.5017338541363,2.58364705694704e-13,5.70821085943363e-11
"48","SYNE1",-3.88934809841732,10.7967805970443,53.4133845524673,2.70249284765267e-13,5.73369031559218e-11
"49","SYNPR",-5.45021283419311,10.2558213682669,53.4111179727335,2.70561272596318e-13,5.73369031559218e-11
"50","HMGB2",4.11867626044868,6.48984439237402,53.2536481432308,2.9314255440448e-13,6.08798456987224e-11
"51","CENPE",4.53820194820196,6.37660124039285,51.5538952409068,6.96583463936066e-13,1.40474962229049e-10
"52","UPP2",-8.13681486302738,9.20798031003063,51.5346175533032,7.03457052764882e-13,1.40474962229049e-10
"53","MAP7",-4.38848646754412,10.0271766837959,50.9006241782214,9.71626838649053e-13,1.88038643368483e-10
"54","HCN1",-8.07996681517555,9.30019857296865,50.8880747841049,9.77858892709753e-13,1.88038643368483e-10
"55","KCNJ6",-5.22480381825287,9.96021057471899,50.7447085189438,1.05195794106241e-12,1.95447082444543e-10
"56","INPP4B",-4.11679639659595,10.4249556811695,50.7408482879871,1.05402895000909e-12,1.95447082444543e-10
"57","GABRB1",-3.84164934446903,10.4289911332519,50.5503306411766,1.16147620077792e-12,2.10431801238506e-10
"58","SNAP25",-4.05408377858237,10.6272929487945,50.5269929212001,1.17537023033834e-12,2.10431801238506e-10
"59","BTBD9",-4.22618705378009,10.5304268892471,50.3917046518882,1.25925385601996e-12,2.21628678659513e-10
"60","FMN2",-3.98600919413616,10.4025842267662,48.305268709831,3.64770816088957e-12,6.31296692377954e-10
"61","NRG1",-5.80312917349867,9.48102869102541,48.2255812307874,3.79899744749799e-12,6.46701467128182e-10
"62","EPHA6",-3.87021427685399,10.6565368571016,47.5869875942745,5.26165789142321e-12,8.81242831363525e-10
"63","CNTNAP2",-3.48261307670561,11.0224072159111,47.4738177277421,5.57435205581888e-12,9.18794789644813e-10
"64","MAGI2",-3.28084863016678,11.8751213920654,47.3120887419383,6.05377131922759e-12,9.76052641553797e-10
"65","CCSER1",-3.74892292678577,10.9511622108068,47.2940535405781,6.10972859216071e-12,9.76052641553797e-10
"66","LMNB1",4.32208111091313,6.23733647480332,47.1549202419768,6.55917911141879e-12,1.03197751352989e-09
"67","EPHA7",-5.88793816824557,9.72009817944657,46.6282847172144,8.58126547370909e-12,1.32996806983575e-09
"68","KCNIP4",-3.67914548477422,13.727659759459,46.11440216122,1.1154544887279e-11,1.70336461925742e-09
"69","TLL1",-4.79872461485303,10.0073642665104,46.0295514369633,1.16482624527808e-11,1.73159977562827e-09
"70","CELF4",-5.63436950833434,9.65014417937972,46.0254024973455,1.16729568850134e-11,1.73159977562827e-09
"71","KCTD16",-3.68706835563946,11.2635647374502,45.9952110328043,1.18542410294337e-11,1.73372449084e-09
"72","SPHKAP",-4.48910636365021,10.104448342932,45.5482320091514,1.48926046912237e-11,2.14784454324537e-09
"73","KCNJ3",-4.64249202533722,9.79275022682753,45.4688548687571,1.55085387182022e-11,2.20603652123029e-09
"74","DTNA",-3.38042687061344,11.6100346474539,45.3816813833192,1.62143848268515e-11,2.27527259516251e-09
"75","CKAP2L",5.99258058676366,5.82978883441566,44.9419627226902,2.02961548096854e-11,2.81007028725031e-09
"76","UNC13C",-5.62750353377197,9.51561644491808,44.8977921119788,2.07591814467263e-11,2.83635973872113e-09
"77","NTNG1",2.96263580706921,7.87561349190175,44.6277171172861,2.38294229373297e-11,3.21025062998613e-09
"78","KIF18B",5.48063328201868,5.84516281674747,44.6044757350471,2.41139781528234e-11,3.21025062998613e-09
"79","AUTS2",-3.2276733360472,11.5365213662499,44.440417348005,2.62217324033562e-11,3.44666416805634e-09
"80","DPP10",-3.18993289152303,12.5964830909966,44.2816902728248,2.84363512625747e-11,3.6910383938822e-09
"81","BUB1",5.95773950812787,5.87768140160997,44.1297396600112,3.07316203405071e-11,3.93971784710896e-09
"82","DOCK4",-3.29451034487242,11.085023366945,43.830920917565,3.58004085258783e-11,4.48142020933288e-09
"83","CAMK2A",-4.63460840017709,9.62989323384146,43.8298343861867,3.58202886531808e-11,4.48142020933288e-09
"84","SLC35F3",-4.37677733092289,10.1497583680744,43.7886817013268,3.6581444875614e-11,4.49873324546075e-09
"85","LRRC7",-3.42906663134783,11.797474741657,43.7756866631782,3.68251469437754e-11,4.49873324546075e-09
"86","PPP2R2B",-3.38361752055996,11.4265562475557,43.6381171719328,3.95068685333844e-11,4.77022468431004e-09
"87","MAML3",-7.59263287368668,9.06209562046674,43.4476436840833,4.35455684686154e-11,5.19743888480578e-09
"88","CDHR3",-5.45158278855506,9.26100294222829,42.9450561941889,5.6298992718346e-11,6.64328114076483e-09
"89","SUSD4",-4.95287355453295,9.54924318997414,42.6171151641263,6.65743078256886e-11,7.76750126361742e-09
"90","COL25A1",-4.928965223964,9.88826925363948,41.9522752312325,9.3528493066093e-11,1.07911096888701e-08
"91","CLSTN2",-3.62594266463301,11.3661747113693,41.9215860131739,9.5007987245422e-11,1.08413509841369e-08
"92","TENM3",-5.2478685671967,9.04022977903039,41.7324380571049,1.04658111202657e-10,1.18127155079173e-08
"93","ATP8A1",-3.8785532619192,9.82477649346142,41.6961693501471,1.06617677348776e-10,1.19044942106418e-08
"94","ST18",-5.37243483610386,8.96373338796977,41.6374813813063,1.09866635576436e-10,1.21367568492097e-08
"95","BARD1",3.53537038512537,6.59248422649105,41.5294063040644,1.16111180088744e-10,1.2691281873444e-08
"96","KCNC2",-7.80331758287181,8.96015219268736,41.50897876112,1.1733080314432e-10,1.2691281873444e-08
"97","MBNL2",-3.77132654054582,9.76171888729925,41.3090184113911,1.29967882616987e-10,1.39132628154102e-08
"98","THSD7B",-7.59870835555979,8.91837187929126,41.1783387294309,1.38953947801674e-10,1.47234468772713e-08
"99","CDCA8",5.91019101357713,5.76535474125771,41.0927524117952,1.45173660977263e-10,1.52271039958374e-08
"100","SMYD3",-3.27197214658864,10.4461585952008,41.0185250694458,1.50793127341224e-10,1.55457901271601e-08
"101","CCDC85A",-4.44807472436723,9.92067839769171,41.0131790202067,1.51206163602e-10,1.55457901271601e-08
"102","EPHA5",-5.31537901785257,9.4297707689963,40.3104121428985,2.16651251500183e-10,2.20559470154696e-08
"103","GRIN2B",-3.51262684340692,10.6448070388714,39.7260317453882,2.92204673964715e-10,2.94587702373748e-08
"104","CPNE4",-7.47285936295749,8.94042745881438,39.4962708339674,3.28686499991308e-10,3.2818082845286e-08
"105","MGAT4C",-4.47769259818608,9.33674411565713,39.4569360292525,3.35374388507231e-10,3.31669300024675e-08
"106","RBFOX3",-7.47209433281832,9.1246279234407,39.2533562078883,3.72227995376827e-10,3.64642972074809e-08
"107","KSR2",-5.37173980944621,9.23318918611913,39.2068280053159,3.81204778365697e-10,3.69946768088729e-08
"108","KCNH1",-7.47915858372628,8.73002154325217,39.1491540285123,3.92633353110638e-10,3.77509698027858e-08
"109","KIF23",5.24127320349342,5.9321314247118,38.9942160998955,4.25063020590692e-10,4.04940771175573e-08
"110","CENPK",4.28052413032646,6.04906214364942,38.8482802911943,4.58057279553097e-10,4.32406071898124e-08
"111","BRCA2",4.99135797292084,5.89461984567832,38.7762244685093,4.75281752794669e-10,4.44623938830617e-08
"112","ZMAT4",-4.64077750901246,9.49412274352313,38.5082398740034,5.45230025284166e-10,5.05506123442034e-08
"113","ATXN7L1",-7.25620607346501,8.65638897123701,38.0566733114589,6.8719272373226e-10,6.28564394285741e-08
"114","DPYD",-3.72318598612531,9.8855176944904,38.0485353904671,6.90064916685039e-10,6.28564394285741e-08
"115","ANK2",-2.89820218504563,11.3345489603267,38.0256655436773,6.98201099425942e-10,6.30445236212085e-08
"116","TMEM232",-4.50545925475498,9.3250906739343,37.7019016395187,8.24241706457757e-10,7.35209692844309e-08
"117","GPC5",-3.31616054109466,11.320352737901,37.6830737541008,8.32235744225751e-10,7.35209692844309e-08
"118","TMEFF2",-3.82928613914582,9.80253223454929,37.660107890285,8.42091873232635e-10,7.35209692844309e-08
"119","MYT1L",-3.68561305937096,10.2336055450832,37.659056738248,8.42545776660947e-10,7.35209692844309e-08
"120","ROBO2",-3.62317037659027,9.6237985206661,37.5829287662722,8.76078752005885e-10,7.58100146735759e-08
"121","ENC1",-4.56572873412707,9.03995211578311,37.5659682760529,8.83729708029616e-10,7.58400767618143e-08
"122","KCNQ5",-3.96436842078409,9.92129077871177,37.4604360939504,9.3286208060917e-10,7.89136797429508e-08
"123","STXBP5L",-2.96785453781601,11.5691072960625,37.4565052144799,9.34744087864306e-10,7.89136797429508e-08
"124","KIF14",4.39851940920729,6.05766618669616,37.3712301808736,9.76520606265644e-10,8.11817116321494e-08
"125","EML6",-5.116411586343,8.75071118438082,37.3697836098766,9.77245180471752e-10,8.11817116321494e-08
"126","NRXN3",-2.90051044921998,11.9485634883796,37.0957906546335,1.12466240429248e-09,9.26864635410564e-08
"127","PTK2B",-4.07153246800617,9.25567290972226,37.0565414293561,1.14752965454267e-09,9.3826361675363e-08
"128","CAMK2B",-3.93279364755493,9.6191833104615,37.0127318462393,1.17360410399522e-09,9.47336065137453e-08
"129","NBEA",-3.10477213892029,11.6542476692972,37.0073106451829,1.17687165256868e-09,9.47336065137453e-08
"130","SPC25",3.14503782254877,6.74456442972222,36.7805781001972,1.3220072053086e-09,1.05597867845573e-07
"131","MTUS2",-7.36220288425484,8.7634493290043,36.7225339384041,1.36196006394499e-09,1.07958727511486e-07
"132","NAV3",-2.79826414188863,11.6624705374971,36.4238226906354,1.58750967535075e-09,1.24884094460925e-07
"133","GABRB2",-3.76253858773564,9.84408912210081,36.2113783533829,1.77033896110414e-09,1.38219547158687e-07
"134","DLGAP1",-3.07320316511119,12.151278507088,36.1227311171161,1.85273003098111e-09,1.43572751057521e-07
"135","NEDD4L",-3.93369742980382,9.28213859816026,35.9653161074085,2.00861271175043e-09,1.54499514065307e-07
"136","ST6GALNAC3",-3.59227201349674,9.38069151488881,35.6114169841598,2.40871679313032e-09,1.83912611616656e-07
"137","SAMD3",-7.54946263455606,8.90099586965231,35.4763379549757,2.58167773897325e-09,1.95679865996338e-07
"138","THOC3",-4.56318683759815,9.36238034590268,35.2667411871791,2.87500057231395e-09,2.15567098994127e-07
"139","SYN3",-4.12475165483905,9.41364820963521,35.2595901429989,2.88557653699766e-09,2.15567098994127e-07
"140","MEGF11",2.60528132676046,7.49311085678508,35.1144166755146,3.10890622285131e-09,2.30592015843486e-07
"141","RGS7",-2.91633741330924,10.8651853491394,34.9831366315637,3.32573144576874e-09,2.4492478959477e-07
"142","EDIL3",-3.04276668227397,11.2615883661218,34.9581965075172,3.36860366272257e-09,2.46335073476839e-07
"143","GRM7",-3.31292601239473,11.1463429607653,34.5316128263158,4.19384480698434e-09,3.04374689407366e-07
"144","TTC3",-3.29474391296337,10.0126884745603,34.5190902377122,4.22091248792958e-09,3.04374689407366e-07
"145","LONRF2",-7.07258485103706,8.60135200116824,34.4438311703433,4.38731090403755e-09,3.14191975362248e-07
"146","GABRG2",-4.94092183026318,8.84315539810518,34.3635197212013,4.57213255875871e-09,3.25185099247606e-07
