gene	Type
BTK	phagocytosis
ITGB2	phagocytosis
C3	phagocytosis
CD300A	phagocytosis
TREM2	phagocytosis
CSK	phagocytosis
VAV1	phagocytosis
CD14	phagocytosis
CYBA	phagocytosis
ANO6	phagocytosis
RACK1	phagocytosis
HCK	phagocytosis
PLCG2	phagocytosis
PLSCR1	phagocytosis
PRKCD	phagocytosis
CORO1A	phagocytosis
GAS6	phagocytosis
AIF1	phagocytosis
SYK	phagocytosis
PYCARD	phagocytosis
FCGR1A	phagocytosis
IRF8	phagocytosis
FCER1G	phagocytosis
LRP1	phagocytosis
PLD4	phagocytosis
IL15	phagocytosis
PECAM1	phagocytosis
ITGAL	phagocytosis
NCF4	phagocytosis
TYROBP	phagocytosis
LEPR	phagocytosis
BIN2	phagocytosis
ITGAM	phagocytosis
CALR	phagocytosis
GRK3	Chemokine
WAS	Chemokine
GRK2	Chemokine
JAK3	Chemokine
PIK3CD	Chemokine
ADCY7	Chemokine
PIK3CG	Chemokine
PLCB2	Chemokine
CXCL16	Chemokine
CX3CR1	Chemokine
PIK3R6	Chemokine
LGALS9	Chemokine
TLR7	Chemokine
CSF1R	Chemokine
IL4R	Chemokine
IL17RA	Chemokine
HMOX1	Chemokine
DDX3X	Chemokine
XIAP	Cytokine
PRKN	Cytokine
BST2	Cytokine
TMSB4X	Cytokine
FCGR3A	Cytokine
HLA-A	Cytokine
HSPA1B	Cytokine
LILRB1	Cytokine
CD81	Cytokine
PARP9	Cytokine
NLRC5	Cytokine
KCNQ1OT1	Cytokine
LRRK2	Cytokine
LAPTM5	Cytokine
CASP1	Cytokine
NOD1	Cytokine
PTPN2	Cytokine
TLR1	Cytokine
TNFRSF14	Cytokine
CASP4	Cytokine
HLA-DRB1	Cytokine
PARP14	Cytokine
ATP6AP2	Cytokine
UFD1	Cytokine
STMP1	Cytokine
OTUD5	Cytokine
HLA-E	Cytokine
LY96	Cytokine
CDC37	Cytokine
MIB2	Cytokine
HSPA1A	Cytokine
IFI16	Cytokine
PTAFR	Cytokine
B2M	Cytokine
HSPB1	Cytokine
IRF5	Cytokine
HK1	Cytokine
CD4	Cytokine
VSIR	Cytokine
GSDMD	Cytokine
ZFP36	Cytokine
POU2F2	Cytokine
GPSM3	Cytokine
RPS3	Cytokine
RNF135	Cytokine
CCDC88B	Cytokine
CLEC5A	Cytokine
HLA-DPA1	Cytokine
CEBPB	Cytokine
TLR5	Cytokine
TRAF3IP3	Cytokine
